,leagueID,season,homeTeamID,awayTeamID,home_shots_h_rolling5,home_shotsOnTarget_h_rolling5,home_shots_a_rolling5,home_shotsOnTarget_a_rolling5,home_fouls_h_rolling5,home_fouls_a_rolling5,home_ppda_h_rolling5,home_ppda_a_rolling5,home_deep_h_rolling5,home_corners_h_rolling5,home_total_key_passes_h_rolling5,home_total_assists_a_rolling5,away_shotsOnTarget_h_rolling5,away_fouls_h_rolling5,away_fouls_a_rolling5,away_ppda_h_rolling5,away_deep_h_rolling5,away_deep_a_rolling5,away_total_key_passes_h_rolling5,away_total_key_passes_a_rolling5,away_total_saved_shots_h_rolling5,away_total_saved_shots_a_rolling5,result
5437,5.0,2016.0,161.0,165.0,9.6,5.0,15.0,5.2,8.0,12.6,13.902239999999997,7.072320000000009,3.2,3.4,8.0,1.0,5.2,8.8,12.4,10.01852,5.2,3.0,9.2,7.6,0.6,2.4,1.0
5443,5.0,2016.0,169.0,180.0,7.4,3.2,12.2,4.8,11.2,9.6,16.871639999999996,7.603880000000008,3.8,3.0,5.6,1.0,2.8,5.2,11.0,8.98094,4.0,4.4,8.0,10.0,2.2,2.8,2.0
5444,2.0,2016.0,108.0,107.0,11.4,2.0,12.2,3.8,6.0,11.0,8.588079999999998,7.389100000000008,4.6,4.2,8.0,1.0,2.4,10.2,12.6,6.527159999999999,5.8,4.8,6.4,6.6,1.6,2.2,0.0
5442,4.0,2016.0,138.0,157.0,11.2,4.2,9.2,3.4,5.6,9.4,9.687919999999997,9.658140000000008,3.8,2.8,6.8,0.6,4.6,9.4,12.4,7.35042,6.8,4.6,11.6,10.8,1.8,2.6,2.0
5440,5.0,2016.0,160.0,168.0,10.6,3.6,15.6,5.6,7.2,11.2,13.561059999999998,9.57318000000001,5.0,3.6,7.8,1.2,5.8,10.6,10.6,10.869340000000001,6.8,3.6,10.2,8.6,1.4,2.0,2.0
5439,5.0,2016.0,164.0,162.0,10.0,4.0,15.4,4.8,4.4,12.8,13.106259999999997,9.428460000000008,5.0,2.8,7.6,0.6,4.6,11.4,11.4,11.36946,5.4,3.8,8.4,8.2,1.6,1.6,2.0
5438,5.0,2016.0,178.0,170.0,10.0,4.6,15.8,5.0,4.8,12.0,13.980499999999997,9.148700000000009,4.2,3.2,8.2,1.0,5.8,8.6,12.0,11.296479999999999,6.2,2.8,10.2,8.6,1.0,2.0,1.0
5441,5.0,2016.0,182.0,175.0,13.4,4.8,11.2,3.8,10.6,11.4,8.118959999999998,12.768160000000009,6.8,4.4,8.6,1.2,5.6,13.0,10.2,9.68504,6.6,3.4,10.2,8.6,2.2,2.2,2.0
5445,2.0,2016.0,111.0,97.0,11.0,2.2,11.4,4.2,5.4,10.6,8.239579999999998,9.398000000000007,6.0,3.8,8.4,1.0,2.2,8.4,9.6,5.2748599999999985,4.4,4.4,7.8,5.4,1.6,1.2,2.0
5446,2.0,2016.0,104.0,116.0,13.2,3.4,8.4,3.0,7.8,10.0,8.146239999999997,10.901420000000007,6.2,4.2,9.6,0.6,2.0,7.8,9.2,7.028699999999999,3.4,4.4,7.8,5.2,1.4,0.8,2.0
5447,2.0,2016.0,98.0,115.0,15.6,4.6,8.6,2.6,9.6,12.6,7.9989399999999975,12.581420000000007,5.6,3.2,11.6,0.6,2.2,8.4,10.0,10.09424,3.4,5.0,9.4,5.8,1.6,0.6,2.0
4001,2.0,2016.0,105.0,95.0,15.2,6.4,8.4,2.6,10.2,11.4,7.679340000000001,18.24958,7.4,4.8,10.8,0.2,4.2,12.0,11.2,9.8524,3.8,1.8,8.8,4.8,2.2,1.4,0.0
4006,3.0,2016.0,130.0,118.0,13.2,5.4,12.4,4.2,4.4,11.6,8.411000000000001,8.547780000000001,4.6,4.8,9.6,1.0,6.6,9.0,9.4,14.36266,4.6,2.8,13.0,8.8,2.6,2.4,1.0
4005,3.0,2016.0,132.0,117.0,12.4,3.8,10.2,2.0,8.6,11.4,9.49052,7.603240000000002,4.4,3.2,9.8,0.0,4.8,7.2,13.6,8.72984,5.2,4.8,10.8,9.4,2.4,3.6,1.0
4004,3.0,2016.0,120.0,135.0,12.2,4.0,12.4,2.6,8.6,13.8,9.2453,8.217020000000002,4.4,2.8,9.6,0.0,4.6,7.2,11.2,8.6548,4.4,4.2,9.6,8.8,3.4,3.8,2.0
4003,3.0,2016.0,121.0,124.0,12.6,4.2,12.2,2.8,6.6,13.8,8.373240000000001,8.976060000000002,4.4,3.2,10.0,0.0,6.8,7.6,11.0,7.336060000000001,3.6,3.2,12.8,7.4,3.2,3.0,1.0
4002,3.0,2016.0,134.0,126.0,12.0,4.8,13.8,3.8,4.4,14.4,9.1072,7.803440000000004,4.2,4.4,9.2,0.8,6.0,10.0,9.2,12.71926,3.6,2.6,11.8,7.4,2.4,2.4,2.0
5448,2.0,2016.0,99.0,102.0,15.6,6.6,10.0,3.8,13.4,14.8,7.804839999999999,10.249320000000008,5.0,4.6,13.4,0.6,6.8,7.4,13.0,7.582419999999999,1.8,2.2,14.8,7.4,3.2,2.4,1.0
4007,1.0,2016.0,85.0,77.0,13.8,3.8,12.0,4.2,12.8,14.2,8.05096,8.39726,5.2,3.0,10.0,0.8,4.6,10.6,14.4,9.57782,4.4,3.2,8.4,9.4,2.6,3.6,2.0
5453,1.0,2016.0,89.0,78.0,13.0,4.2,13.0,7.2,7.8,10.0,17.065779999999997,8.609840000000009,4.8,3.8,10.4,1.2,5.2,6.8,8.0,6.179579999999999,4.4,5.0,10.2,5.6,1.0,2.0,2.0
